tract,count
059402,127
059500,795
059600,64
059800,47
059900,89
060000,183
060100,221
060300,356
060600,179
060701,195
060800,369
061000,17
061002,59
061003,155
061004,111
061200,149
061301,697
061302,100
061400,44
061600,28
061601,39
061602,115
061800,20
061900,68
062000,46
062100,100
062200,269
062300,50
062400,106
062500,101
062600,85
062700,56
062800,68
062900,63
063000,7
063200,41
063301,32
063302,25
063500,62
063600,5
063700,478
063800,165
063900,525
064000,17
064101,192
064102,538
064200,41
064400,33
064500,128
064600,44
064800,11
065000,128
065200,45
065400,154
065501,227
065600,87
065702,133
065703,153
065800,12
065900,64
066000,36
066100,35
066200,66
066300,186
066400,263
066501,117
066600,329
066701,119
066900,47
067000,63
067100,111
067200,55
067400,48
067600,48
067700,66
067800,23
067900,589
068000,360
068200,90
068300,9345
068600,23
068700,2776
068800,22
069000,64
069200,20
069300,1509
069400,37
069500,1901
069601,64
069602,35
069701,358
069702,682
069800,68
070000,4
070201,63
070202,208
070203,432
070300,1303
070600,242
070700,176
070900,169
071100,12742
071303,7839
071304,2643
071305,1199
071306,1037
071600,2811411
071701,10737
071702,4012
071900,285
072000,56
072100,232
072200,94
072300,221
072400,68
072600,67
072800,47
072900,127
073000,40
073100,142
073200,64
073400,29
073600,160
073700,7222
073800,117
073900,10478
074000,238
074100,264
074200,87
074300,420
074400,21
074500,833
074600,117
074700,184
074800,50
074900,64
075000,82
075200,51
075400,33
075600,15
075701,5800
075702,1236
075800,27
076000,117
076200,213
076400,191
076600,103
076800,410
076901,895
076902,1118
077000,244
077200,192
077300,445
077400,388
077500,343
077600,144
077902,328
077903,464
077904,758
077905,593
077906,109
077907,100
077908,123
078000,135
078200,81
078400,94
078600,765
078800,499
079000,5535
079200,8771
079300,172
079400,850
079601,3027
079602,2112
079701,166
079702,324
079801,1790
079802,3601
079900,519
080000,444
080200,543
080301,526
080302,667
080400,252
080600,223
080800,170
080900,480
081000,152
081400,933
081600,149
081800,585
082000,361
082200,442
082400,200
082600,154
082800,142
083000,133
083200,41
083400,43
083600,48
083700,454
083800,218
084000,264
084500,76
084600,27
084601,162
084602,1798
084800,32
084900,566
085000,32
085200,10
085300,881
085400,33
085500,109
085600,80
085700,121
085800,59
085900,102
086000,55
086100,90
086200,97
086300,58
086400,873
086500,242
086600,93
086800,204
086900,6908
087000,64
087100,3089
087200,57
087401,101
087600,125
087800,164
088000,1547
088200,231
088400,573
088600,131
088800,81
088901,278
089000,214
089200,510
089400,100
089600,33
089800,39
090000,144
090200,67
090600,90
090700,1218
090800,85
091000,51
091200,99
091600,71
091601,74
091602,15
091800,101
091900,283
092000,68
092200,64
092400,113
092500,101
092800,80
092900,318
093000,69
093200,85
093400,32
093401,17
093402,15
093600,32
093800,59
093900,107
094201,27
094202,36
094203,17
094401,76
094402,10
094500,454
094600,56
094700,107
095000,56
095400,191
095600,110
095800,46
096000,124
096200,49
096400,91
096600,49
096800,41
097000,21
097202,11
097203,78
097204,6
097300,104
097400,68
098100,71
098200,74
098400,28
098600,17
098700,54
098800,31
099000,24
099100,93
099200,45
099400,15
099600,47
099701,51
099703,54
099704,52
099705,64
099800,60
099801,23
099802,8
099900,7
100400,41
100600,18
100800,14
100801,19
100802,23
101000,22
101001,22
101002,18
101200,33
101400,10
101600,21
101700,67
101800,40
102000,25
102200,31
102400,29
102600,18
102800,148
102900,60
103201,17
103202,12
103300,38
103400,402
103900,141
104700,115
105801,72
105804,109
105900,29
107000,366
107202,66
107800,77
108500,22
109300,40
109700,25
109800,196
109900,59
110400,253
110600,26
111000,21
111300,44
111600,109
111800,45
112000,26
112200,20
112300,138
112400,31
112600,104
112800,69
112900,34
113000,31
113200,29
113300,36
113400,36
113900,45
114100,19
114201,146
114202,19
114400,153
114600,38
114700,30
115000,43
115100,13
115200,27
115500,76
115600,98
115700,194
115800,36
115900,71
116000,38
116100,402
116200,51
116300,342
116400,42
116600,41
116700,52
116800,119
117000,192
117100,234
117201,15
117202,26
117400,139
117500,101
117601,25
117602,42
117800,102
118000,69
118100,77
118201,15
118202,23
118400,47
118500,25
118600,45
118700,24
118800,183
